id_fase,nome,esforco_real_fase,cpi_hist,id_projeto,esforco_estimado_fase,duracao
3,testes,44.6,1.98927,1,3.2,18
7,testes,23.8,1.79518,2,5,15
11,testes,16.5,1.46341,3,7.6,11
15,testes,13,2.55,4,2.3,11
19,testes,14.4,3.39881,5,3.3,9
25,testes,16.8,2.44388,7,20.1,15
29,testes,6.2,3.83036,8,2.7,8
33,testes,20,1.65631,9,5.3,17
41,testes,18.8,2.11585,12,3.7,30
45,testes,56.2,1.6915,13,5.1,16
49,testes,10.4,1.62778,14,2.7,14
53,testes,29.4,1.53114,15,3,20
57,testes,38.8,3.91803,16,3.5,20
61,testes,32.53,1.79136,17,4.8,23
65,testes,22.7,1.33219,18,2.8,21
69,testes,40.6,2.61827,19,9.3,31
72,testes,45.7,1.51244,20,3.1,56
76,testes,21.1,1.19448,21,6,20
80,testes,31.6,1.68529,22,6.2,16
83,testes,69.6,1.67239,23,1.6,30
