idFase,nomeFase,numAtividades,esforcoReal,cpi,idProjeto
1,elaboracao,6,4.1,1.97561,1
2,implementacao,6,33.1,1.76737,1
3,testes,6,18.7,2.38503,1
4,correcao,6,5,2.14,1
5,elaboracao,9,4.5,2.2,2
6,implementacao,9,51.1,1.67319,2
7,testes,9,10.8,2.2037,2
8,correcao,9,0.8,10,2
9,elaboracao,5,8.1,1.18519,3
10,implementacao,5,37.3,1.23056,3
11,testes,5,3.8,4.34211,3
12,correcao,5,2.2,2.5,3
13,elaboracao,7,1.3,3.30769,4
14,implementacao,7,14.5,2.32414,4
15,testes,7,4.2,3.09524,4
17,elaboracao,6,2.1,2.2381,5
18,implementacao,6,8.7,4.36782,5
19,testes,6,6,2.4,5
20,correcao,6,2.7,1.85185,5
21,elaboracao,5,2.7,1.59259,6
22,implementacao,5,16.4,1.48171,6
23,correcao,5,2.6,3.19231,6
24,implementacao,5,16.4,1.89634,7
25,testes,5,3.2,5.25,7
26,correcao,5,1.8,3.44444,7
27,elaboracao,9,3.1,1.87097,8
28,implementacao,9,5.9,5.23729,8
29,testes,9,2.2,2.81818,8
31,elaboracao,6,1.8,3.77778,9
32,implementacao,6,40,1.33,9
33,testes,6,6.5,3.07692,9
34,correcao,6,3,2.56667,9
35,elaboracao,4,1.5,2.93333,10
36,implementacao,4,19.5,2.25641,10
37,elaboracao,11,5.7,3.61404,11
38,implementacao,11,110.8,1.21029,11
39,elaboracao,9,5.3,1.41509,12
40,implementacao,9,17,2.53529,12
41,testes,9,10.5,1.79048,12
43,elaboracao,17,6.8,3.08824,13
44,implementacao,17,116.4,1.56014,13
45,testes,17,29.8,1.88591,13
46,correcao,17,8.6,3.56977,13
47,elaboracao,4,2,1.35,14
48,implementacao,4,8,2.025,14
49,testes,4,8,1.3,14
